person_id,name,height,address
100032,Gabriel Medeiros Fernandes,198,"Avenida Albino José Barbosa de Oliveira, 927 - Barão Geraldo"
100033,Livia Silva Vieira,176,"Avenida Heitor Penteado, 2718 - Taquaral"
100034,Felipe Melo Fernandes,191,"Avenida Heitor Penteado, 199 - Taquaral"
100035,Felipe Ribeiro Amorim,177,"Rua Coronel Quirino, 190 - Cambuí"
100036,Livia Ribeiro Ferreira,165,"Avenida Heitor Penteado, 1353 - Taquaral"
100037,Eduardo Silva Almeida,164,"Avenida Heitor Penteado, 2134 - Taquaral"
100038,Gabriel Matos Matos,196,"Avenida Albino José Barbosa de Oliveira, 792 - Barão Geraldo"
100039,Giovanna Melo Gomes,200,"Avenida Heitor Penteado, 2838 - Taquaral"
100040,Victor Martins Alves,193,"Avenida Heitor Penteado, 2004 - Taquaral"
100041,Gabriel Almeida Queiroz,204,"Avenida Heitor Penteado, 425 - Taquaral"
100042,Pedro Vieira Medeiros,201,"Rua Maria Monteiro, 215 - Cambuí"
100043,Daniel Almeida Ribeiro,152,"Avenida Heitor Penteado, 1403 - Taquaral"
100044,Erik Gomes Campos,186,"Avenida Albino José Barbosa de Oliveira, 2800 - Barão Geraldo"
100045,Clara Martins Martins,200,"Avenida Heitor Penteado, 2779 - Taquaral"
100046,Vinícius Ferreira Queiroz,156,"Rua Coronel Quirino, 360 - Cambuí"
100047,Giovanna Matos Paschoalino,170,"Avenida Albino José Barbosa de Oliveira, 2159 - Barão Geraldo"
100048,Yasmin Cruz Matos,158,"Avenida Heitor Penteado, 2125 - Taquaral"
100049,Giovanna Ribeiro Fernandes,188,"Avenida Heitor Penteado, 1088 - Taquaral"
100050,Daniel Nascimento Gomes,167,"Rua Coronel Quirino, 852 - Cambuí"
100051,Erik Ferreira Paschoalino,153,"Avenida Albino José Barbosa de Oliveira, 438 - Barão Geraldo"
100052,Thiago Silva Queiroz,174,"Rua Coronel Quirino, 230 - Cambuí"
100053,Erik Queiroz Cruz,163,"Avenida Heitor Penteado, 220 - Taquaral"
100054,Rafael Nascimento Ribeiro,199,"Avenida Albino José Barbosa de Oliveira, 3092 - Barão Geraldo"
100055,Samuel Campos Santana,158,"Rua Maria Monteiro, 1337 - Cambuí"
100056,Eduardo Alves Oliveira,175,"Avenida Heitor Penteado, 822 - Taquaral"
100057,Sofia Queiroz Paschoalino,202,"Avenida Heitor Penteado, 476 - Taquaral"
100058,Vinícius Fernandes Amorim,151,"Avenida Heitor Penteado, 2196 - Taquaral"
100059,André Cruz Alves,169,"Avenida Albino José Barbosa de Oliveira, 3056 - Barão Geraldo"
100060,Guilherme Bellini Medeiros,177,"Rua Coronel Quirino, 1898 - Cambuí"
100061,Gabriel Melo Vieira,196,"Avenida Heitor Penteado, 2212 - Taquaral"
100062,Clara Amorim Vieira,156,"Rua Maria Monteiro, 485 - Cambuí"
100063,Sofia Almeida Almeida,193,"Avenida Albino José Barbosa de Oliveira, 3304 - Barão Geraldo"
100064,Yasmin Amorim Matos,157,"Avenida Albino José Barbosa de Oliveira, 1472 - Barão Geraldo"
100065,Erik Silva Queiroz,196,"Avenida Heitor Penteado, 1088 - Taquaral"
100066,Vinícius Gomes Santana,184,"Avenida Heitor Penteado, 2363 - Taquaral"
100067,Sofia Santana Nascimento,163,"Avenida Heitor Penteado, 959 - Taquaral"
100068,Livia Ribeiro Alves,166,"Avenida Heitor Penteado, 1231 - Taquaral"
100069,Miguel Queiroz Ferreira,185,"Rua Maria Monteiro, 894 - Cambuí"
100070,Daniel Bellini Bellini,199,"Rua Maria Monteiro, 1265 - Cambuí"
100071,Clara Fernandes Paschoalino,189,"Avenida Heitor Penteado, 905 - Taquaral"
100072,Victor Matos Bellini,153,"Avenida Heitor Penteado, 497 - Taquaral"
100073,Victor Bellini Paschoalino,151,"Avenida Heitor Penteado, 1509 - Taquaral"
100074,Clara Ribeiro Medeiros,155,"Avenida Heitor Penteado, 2473 - Taquaral"
100075,Gabriel Vieira Medeiros,203,"Avenida Albino José Barbosa de Oliveira, 2723 - Barão Geraldo"
100076,Henrique Vieira Queiroz,191,"Avenida Heitor Penteado, 437 - Taquaral"
100077,Gabriel Silva Amorim,153,"Avenida Albino José Barbosa de Oliveira, 2301 - Barão Geraldo"
100078,Felipe Matos Almeida,203,"Avenida Albino José Barbosa de Oliveira, 2920 - Barão Geraldo"
100079,Thiago Melo Melo,178,"Rua Maria Monteiro, 1166 - Cambuí"
100080,Pedro Bellini Amorim,167,"Rua Coronel Quirino, 1245 - Cambuí"
100081,Maria Santana Cruz,175,"Avenida Heitor Penteado, 2641 - Taquaral"
100082,Daniel Gomes Alves,193,"Rua Maria Monteiro, 474 - Cambuí"
100083,Maria Gomes Ferreira,183,"Rua Coronel Quirino, 285 - Cambuí"
100084,Thiago Medeiros Ribeiro,159,"Avenida Heitor Penteado, 292 - Taquaral"
100085,Rafael Cruz Medeiros,185,"Avenida Albino José Barbosa de Oliveira, 2577 - Barão Geraldo"
100086,Livia Fernandes Cruz,163,"Avenida Albino José Barbosa de Oliveira, 2211 - Barão Geraldo"
100087,Gabriel Santana Santana,180,"Rua Coronel Quirino, 1732 - Cambuí"
100088,Sofia Ferreira Almeida,197,"Avenida Heitor Penteado, 1921 - Taquaral"
100089,Maria Oliveira Silva,164,"Rua Coronel Quirino, 697 - Cambuí"
100090,Miguel Bellini Vieira,157,"Avenida Heitor Penteado, 2914 - Taquaral"
100091,Miguel Matos Cruz,163,"Avenida Heitor Penteado, 733 - Taquaral"
100092,Beatriz Ribeiro Matos,172,"Avenida Albino José Barbosa de Oliveira, 1424 - Barão Geraldo"
100093,André Vieira Bellini,189,"Avenida Albino José Barbosa de Oliveira, 2241 - Barão Geraldo"
100094,Erik Gomes Amorim,170,"Avenida Heitor Penteado, 2578 - Taquaral"
100095,Pedro Santana Martins,165,"Avenida Heitor Penteado, 2507 - Taquaral"
100096,Beatriz Oliveira Martins,194,"Rua Coronel Quirino, 230 - Cambuí"
100097,André Martins Silva,167,"Avenida Heitor Penteado, 1389 - Taquaral"
100098,Miguel Nascimento Gomes,196,"Rua Maria Monteiro, 349 - Cambuí"
100099,Larissa Matos Amorim,202,"Rua Maria Monteiro, 838 - Cambuí"
100100,Eduardo Santana Nascimento,173,"Avenida Albino José Barbosa de Oliveira, 2654 - Barão Geraldo"
100101,Felipe Medeiros Melo,175,"Avenida Heitor Penteado, 943 - Taquaral"
100102,Thiago Matos Medeiros,174,"Avenida Heitor Penteado, 2744 - Taquaral"
100103,Thiago Fernandes Medeiros,194,"Avenida Heitor Penteado, 2873 - Taquaral"
100104,Beatriz Melo Amorim,190,"Rua Coronel Quirino, 1773 - Cambuí"
100105,Samuel Queiroz Oliveira,178,"Avenida Albino José Barbosa de Oliveira, 2852 - Barão Geraldo"
100106,Beatriz Queiroz Vieira,164,"Avenida Heitor Penteado, 1188 - Taquaral"
100107,Erik Vieira Campos,194,"Rua Maria Monteiro, 1221 - Cambuí"
100108,Clara Bellini Martins,150,"Avenida Albino José Barbosa de Oliveira, 2205 - Barão Geraldo"
100109,Daniel Melo Bellini,174,"Avenida Heitor Penteado, 2731 - Taquaral"
100110,Victor Campos Medeiros,156,"Avenida Albino José Barbosa de Oliveira, 834 - Barão Geraldo"
100111,Vinícius Vieira Gomes,158,"Rua Maria Monteiro, 879 - Cambuí"
100112,Yasmin Melo Melo,173,"Avenida Albino José Barbosa de Oliveira, 3078 - Barão Geraldo"
100113,Samuel Fernandes Silva,150,"Rua Coronel Quirino, 1548 - Cambuí"
100114,Felipe Fernandes Bellini,193,"Rua Maria Monteiro, 1152 - Cambuí"
100115,Giovanna Martins Almeida,157,"Rua Coronel Quirino, 872 - Cambuí"
100116,Yasmin Ribeiro Nascimento,173,"Avenida Heitor Penteado, 514 - Taquaral"
100117,Miguel Fernandes Vieira,160,"Avenida Albino José Barbosa de Oliveira, 1711 - Barão Geraldo"
100118,André Ferreira Campos,200,"Avenida Heitor Penteado, 329 - Taquaral"
100119,Victor Cruz Vieira,166,"Rua Maria Monteiro, 651 - Cambuí"
100120,Sofia Santana Queiroz,157,"Avenida Albino José Barbosa de Oliveira, 995 - Barão Geraldo"
100121,Giovanna Almeida Alves,184,"Avenida Heitor Penteado, 141 - Taquaral"
100122,Clara Bellini Alves,184,"Rua Maria Monteiro, 283 - Cambuí"
100123,Larissa Gomes Ribeiro,182,"Rua Maria Monteiro, 450 - Cambuí"
100124,Sofia Nascimento Campos,154,"Avenida Albino José Barbosa de Oliveira, 306 - Barão Geraldo"
100125,Rafael Queiroz Paschoalino,191,"Rua Coronel Quirino, 967 - Cambuí"
100126,Yasmin Matos Nascimento,188,"Avenida Albino José Barbosa de Oliveira, 1734 - Barão Geraldo"
100127,Yasmin Cruz Almeida,190,"Avenida Heitor Penteado, 2538 - Taquaral"
100128,Giovanna Cruz Cruz,177,"Avenida Albino José Barbosa de Oliveira, 394 - Barão Geraldo"
100129,Thiago Matos Almeida,156,"Avenida Heitor Penteado, 2526 - Taquaral"
100130,Giovanna Nascimento Campos,158,"Rua Coronel Quirino, 406 - Cambuí"
100131,Felipe Fernandes Santana,157,"Avenida Albino José Barbosa de Oliveira, 1140 - Barão Geraldo"
100132,Yasmin Ribeiro Silva,161,"Avenida Heitor Penteado, 1133 - Taquaral"
100133,Samuel Amorim Silva,183,"Avenida Heitor Penteado, 2536 - Taquaral"
100134,Beatriz Vieira Ribeiro,182,"Rua Maria Monteiro, 512 - Cambuí"
100135,Maria Silva Medeiros,197,"Avenida Heitor Penteado, 1885 - Taquaral"
100136,André Fernandes Almeida,204,"Avenida Heitor Penteado, 1486 - Taquaral"
100137,Rafael Silva Oliveira,172,"Avenida Heitor Penteado, 583 - Taquaral"
100138,Thiago Ferreira Matos,173,"Avenida Heitor Penteado, 460 - Taquaral"
100139,Larissa Gomes Matos,186,"Avenida Albino José Barbosa de Oliveira, 1018 - Barão Geraldo"
100140,André Cruz Vieira,184,"Avenida Heitor Penteado, 1564 - Taquaral"
100141,Larissa Almeida Matos,193,"Rua Maria Monteiro, 1172 - Cambuí"
100142,Beatriz Alves Melo,189,"Avenida Albino José Barbosa de Oliveira, 3020 - Barão Geraldo"
100143,Sofia Almeida Gomes,171,"Avenida Albino José Barbosa de Oliveira, 2518 - Barão Geraldo"
100144,Eduardo Medeiros Nascimento,176,"Avenida Albino José Barbosa de Oliveira, 1468 - Barão Geraldo"
100145,João Medeiros Alves,184,"Avenida Albino José Barbosa de Oliveira, 2628 - Barão Geraldo"
100146,Felipe Bellini Cruz,150,"Rua Coronel Quirino, 1503 - Cambuí"
100147,João Matos Gomes,184,"Avenida Heitor Penteado, 1086 - Taquaral"
100148,Vinícius Almeida Bellini,186,"Rua Coronel Quirino, 1344 - Cambuí"
100149,Erik Oliveira Gomes,196,"Rua Maria Monteiro, 453 - Cambuí"
100150,André Oliveira Fernandes,163,"Avenida Albino José Barbosa de Oliveira, 20 - Barão Geraldo"
100151,Maria Bellini Silva,152,"Rua Coronel Quirino, 803 - Cambuí"
100152,Erik Cruz Martins,150,"Rua Maria Monteiro, 565 - Cambuí"
100153,Beatriz Amorim Bellini,154,"Avenida Heitor Penteado, 2260 - Taquaral"
100154,Felipe Ferreira Alves,175,"Avenida Heitor Penteado, 586 - Taquaral"
100155,Guilherme Bellini Bellini,204,"Rua Maria Monteiro, 1182 - Cambuí"
100156,André Santana Martins,163,"Rua Coronel Quirino, 1060 - Cambuí"
100157,Henrique Silva Vieira,188,"Rua Maria Monteiro, 145 - Cambuí"
100158,Giovanna Alves Ribeiro,176,"Avenida Heitor Penteado, 1140 - Taquaral"
100159,Samuel Martins Matos,158,"Avenida Heitor Penteado, 1541 - Taquaral"
100160,Henrique Paschoalino Cruz,164,"Avenida Albino José Barbosa de Oliveira, 1207 - Barão Geraldo"
100161,Giovanna Oliveira Melo,164,"Avenida Albino José Barbosa de Oliveira, 619 - Barão Geraldo"
100162,Giovanna Medeiros Cruz,175,"Avenida Heitor Penteado, 478 - Taquaral"
100163,Vinícius Gomes Alves,191,"Avenida Heitor Penteado, 2164 - Taquaral"
100164,Thiago Fernandes Gomes,162,"Avenida Albino José Barbosa de Oliveira, 2425 - Barão Geraldo"
100165,Vinícius Queiroz Cruz,200,"Avenida Heitor Penteado, 270 - Taquaral"
100166,Livia Melo Santana,181,"Rua Maria Monteiro, 602 - Cambuí"
100167,Giovanna Medeiros Gomes,188,"Rua Coronel Quirino, 684 - Cambuí"
100168,André Queiroz Matos,198,"Rua Coronel Quirino, 1114 - Cambuí"
100169,Yasmin Santana Alves,201,"Avenida Albino José Barbosa de Oliveira, 1750 - Barão Geraldo"
100170,Maria Vieira Fernandes,181,"Rua Maria Monteiro, 116 - Cambuí"
100171,Vinícius Fernandes Cruz,153,"Avenida Albino José Barbosa de Oliveira, 2066 - Barão Geraldo"
100172,Thiago Nascimento Queiroz,179,"Rua Maria Monteiro, 214 - Cambuí"
100173,Guilherme Gomes Fernandes,186,"Avenida Albino José Barbosa de Oliveira, 1006 - Barão Geraldo"
100174,Livia Nascimento Matos,172,"Rua Coronel Quirino, 522 - Cambuí"
100175,Eduardo Santana Gomes,188,"Avenida Albino José Barbosa de Oliveira, 1339 - Barão Geraldo"
100176,Yasmin Martins Oliveira,194,"Rua Maria Monteiro, 522 - Cambuí"
100177,Vinícius Melo Nascimento,164,"Rua Coronel Quirino, 1085 - Cambuí"
100178,Livia Matos Paschoalino,192,"Avenida Albino José Barbosa de Oliveira, 709 - Barão Geraldo"
100179,Guilherme Nascimento Santana,178,"Avenida Albino José Barbosa de Oliveira, 3287 - Barão Geraldo"
100180,Maria Melo Campos,185,"Rua Coronel Quirino, 1735 - Cambuí"
100181,Rafael Fernandes Ferreira,162,"Avenida Albino José Barbosa de Oliveira, 2257 - Barão Geraldo"
100182,Miguel Ferreira Santana,181,"Avenida Heitor Penteado, 195 - Taquaral"
100183,Samuel Amorim Oliveira,156,"Avenida Albino José Barbosa de Oliveira, 2594 - Barão Geraldo"
100184,Yasmin Vieira Nascimento,200,"Avenida Albino José Barbosa de Oliveira, 1743 - Barão Geraldo"
100185,Samuel Ribeiro Campos,171,"Avenida Heitor Penteado, 1364 - Taquaral"
100186,Henrique Vieira Bellini,177,"Avenida Heitor Penteado, 1675 - Taquaral"
100187,Yasmin Nascimento Bellini,151,"Avenida Albino José Barbosa de Oliveira, 594 - Barão Geraldo"
100188,Felipe Almeida Paschoalino,191,"Avenida Heitor Penteado, 1011 - Taquaral"
100189,Beatriz Bellini Amorim,194,"Avenida Albino José Barbosa de Oliveira, 1534 - Barão Geraldo"
100190,Vinícius Vieira Ferreira,202,"Avenida Heitor Penteado, 2904 - Taquaral"
100191,Maria Ribeiro Melo,155,"Avenida Albino José Barbosa de Oliveira, 60 - Barão Geraldo"
100192,Felipe Martins Amorim,177,"Avenida Heitor Penteado, 226 - Taquaral"
100193,Livia Bellini Almeida,177,"Rua Maria Monteiro, 121 - Cambuí"
100194,Rafael Paschoalino Cruz,193,"Rua Coronel Quirino, 1890 - Cambuí"
100195,Maria Bellini Oliveira,193,"Avenida Heitor Penteado, 2858 - Taquaral"
100196,Larissa Queiroz Ferreira,169,"Rua Coronel Quirino, 1974 - Cambuí"
100197,Beatriz Matos Bellini,179,"Rua Maria Monteiro, 600 - Cambuí"
100198,Daniel Ferreira Almeida,160,"Avenida Albino José Barbosa de Oliveira, 402 - Barão Geraldo"
100199,Miguel Queiroz Matos,204,"Avenida Heitor Penteado, 121 - Taquaral"
100200,Vinícius Fernandes Ferreira,177,"Avenida Heitor Penteado, 1977 - Taquaral"
100201,Vinícius Queiroz Gomes,174,"Rua Maria Monteiro, 655 - Cambuí"
100202,Sofia Ferreira Oliveira,188,"Rua Coronel Quirino, 754 - Cambuí"
100203,Thiago Amorim Ferreira,182,"Avenida Albino José Barbosa de Oliveira, 88 - Barão Geraldo"
100204,Giovanna Bellini Ribeiro,150,"Rua Coronel Quirino, 969 - Cambuí"
100205,Giovanna Queiroz Amorim,176,"Rua Maria Monteiro, 1525 - Cambuí"
100206,Rafael Bellini Silva,201,"Avenida Albino José Barbosa de Oliveira, 537 - Barão Geraldo"
100207,Miguel Vieira Nascimento,162,"Rua Maria Monteiro, 579 - Cambuí"
100208,Gabriel Silva Fernandes,190,"Rua Maria Monteiro, 664 - Cambuí"
100209,Henrique Matos Vieira,152,"Rua Maria Monteiro, 387 - Cambuí"
100210,Eduardo Almeida Bellini,188,"Avenida Albino José Barbosa de Oliveira, 203 - Barão Geraldo"
100211,Livia Almeida Santana,155,"Avenida Heitor Penteado, 582 - Taquaral"
100212,Clara Gomes Gomes,157,"Avenida Albino José Barbosa de Oliveira, 401 - Barão Geraldo"
100213,Henrique Matos Ferreira,176,"Avenida Albino José Barbosa de Oliveira, 3492 - Barão Geraldo"
100214,Maria Medeiros Santana,158,"Rua Maria Monteiro, 1562 - Cambuí"
100215,Maria Martins Melo,186,"Rua Coronel Quirino, 1194 - Cambuí"
100216,Larissa Paschoalino Melo,182,"Avenida Heitor Penteado, 925 - Taquaral"
100217,Livia Amorim Paschoalino,200,"Avenida Albino José Barbosa de Oliveira, 798 - Barão Geraldo"
100218,João Nascimento Martins,191,"Rua Maria Monteiro, 754 - Cambuí"
100219,Maria Matos Matos,193,"Rua Coronel Quirino, 339 - Cambuí"
100220,Vinícius Bellini Amorim,173,"Rua Maria Monteiro, 508 - Cambuí"
100221,Gabriel Silva Gomes,164,"Avenida Albino José Barbosa de Oliveira, 1384 - Barão Geraldo"
100222,Pedro Paschoalino Martins,203,"Avenida Heitor Penteado, 1375 - Taquaral"
100223,Henrique Martins Oliveira,181,"Rua Maria Monteiro, 633 - Cambuí"
100224,Miguel Almeida Campos,181,"Rua Coronel Quirino, 711 - Cambuí"
100225,Sofia Paschoalino Martins,173,"Avenida Heitor Penteado, 1763 - Taquaral"
100226,Victor Melo Paschoalino,190,"Rua Maria Monteiro, 550 - Cambuí"
100227,Clara Ribeiro Gomes,201,"Avenida Albino José Barbosa de Oliveira, 1768 - Barão Geraldo"
100228,Eduardo Ferreira Oliveira,198,"Rua Coronel Quirino, 456 - Cambuí"
100229,Beatriz Silva Martins,198,"Avenida Albino José Barbosa de Oliveira, 2998 - Barão Geraldo"
100230,Henrique Santana Ferreira,201,"Avenida Albino José Barbosa de Oliveira, 1023 - Barão Geraldo"
100231,Henrique Fernandes Martins,161,"Avenida Heitor Penteado, 2617 - Taquaral"
100232,Giovanna Gomes Silva,188,"Avenida Albino José Barbosa de Oliveira, 2570 - Barão Geraldo"
100233,Clara Amorim Paschoalino,151,"Rua Coronel Quirino, 1455 - Cambuí"
100234,Thiago Matos Medeiros,152,"Avenida Albino José Barbosa de Oliveira, 736 - Barão Geraldo"
100235,João Bellini Ribeiro,198,"Avenida Albino José Barbosa de Oliveira, 3411 - Barão Geraldo"
100236,Clara Ribeiro Medeiros,186,"Rua Coronel Quirino, 928 - Cambuí"
100237,André Bellini Santana,198,"Rua Coronel Quirino, 1509 - Cambuí"
100238,André Campos Almeida,166,"Rua Coronel Quirino, 927 - Cambuí"
100239,Gabriel Almeida Amorim,198,"Avenida Heitor Penteado, 2314 - Taquaral"
100240,Yasmin Cruz Melo,151,"Rua Coronel Quirino, 1099 - Cambuí"
100241,Felipe Ferreira Silva,151,"Avenida Heitor Penteado, 1524 - Taquaral"
100242,João Oliveira Campos,177,"Rua Maria Monteiro, 1278 - Cambuí"
100243,Vinícius Cruz Oliveira,203,"Avenida Heitor Penteado, 1239 - Taquaral"
100244,Guilherme Cruz Melo,172,"Rua Coronel Quirino, 1068 - Cambuí"
100245,André Nascimento Melo,186,"Avenida Heitor Penteado, 1030 - Taquaral"
100246,Yasmin Martins Martins,181,"Avenida Heitor Penteado, 662 - Taquaral"
100247,Larissa Santana Vieira,182,"Avenida Heitor Penteado, 1119 - Taquaral"
100248,Victor Ribeiro Bellini,150,"Avenida Heitor Penteado, 2957 - Taquaral"
100249,Daniel Nascimento Campos,168,"Avenida Heitor Penteado, 1394 - Taquaral"
100250,Daniel Melo Medeiros,151,"Rua Coronel Quirino, 360 - Cambuí"
100251,João Matos Gomes,202,"Avenida Albino José Barbosa de Oliveira, 3073 - Barão Geraldo"
100252,Yasmin Alves Vieira,193,"Rua Maria Monteiro, 603 - Cambuí"
100253,Samuel Ribeiro Fernandes,175,"Rua Coronel Quirino, 1111 - Cambuí"
100254,André Gomes Amorim,181,"Avenida Albino José Barbosa de Oliveira, 1229 - Barão Geraldo"
100255,Daniel Gomes Alves,155,"Rua Coronel Quirino, 1072 - Cambuí"
100256,Rafael Ferreira Almeida,181,"Rua Maria Monteiro, 1322 - Cambuí"
100257,Maria Oliveira Queiroz,204,"Avenida Heitor Penteado, 814 - Taquaral"
100258,Rafael Silva Campos,153,"Avenida Albino José Barbosa de Oliveira, 1337 - Barão Geraldo"
100259,Sofia Amorim Ferreira,204,"Avenida Heitor Penteado, 2710 - Taquaral"
100260,Maria Melo Silva,160,"Avenida Heitor Penteado, 2256 - Taquaral"
100261,Henrique Bellini Vieira,166,"Avenida Heitor Penteado, 1019 - Taquaral"
100262,Giovanna Ferreira Bellini,187,"Avenida Albino José Barbosa de Oliveira, 1701 - Barão Geraldo"
100263,Miguel Melo Campos,173,"Rua Coronel Quirino, 1596 - Cambuí"
100264,Yasmin Martins Fernandes,154,"Avenida Albino José Barbosa de Oliveira, 1222 - Barão Geraldo"
100265,André Amorim Fernandes,201,"Avenida Albino José Barbosa de Oliveira, 2427 - Barão Geraldo"
100266,Erik Amorim Santana,183,"Avenida Albino José Barbosa de Oliveira, 2532 - Barão Geraldo"
100267,João Silva Fernandes,155,"Avenida Albino José Barbosa de Oliveira, 1710 - Barão Geraldo"
100268,Giovanna Campos Silva,171,"Rua Coronel Quirino, 1862 - Cambuí"
100269,Sofia Paschoalino Queiroz,160,"Rua Maria Monteiro, 217 - Cambuí"
100270,Felipe Vieira Bellini,197,"Avenida Heitor Penteado, 2855 - Taquaral"
100271,Thiago Gomes Amorim,165,"Avenida Heitor Penteado, 129 - Taquaral"
100272,Sofia Bellini Amorim,182,"Rua Maria Monteiro, 1028 - Cambuí"
100273,Rafael Amorim Ferreira,158,"Rua Coronel Quirino, 367 - Cambuí"
100274,André Vieira Nascimento,155,"Avenida Heitor Penteado, 1941 - Taquaral"
100275,Gabriel Martins Bellini,165,"Avenida Albino José Barbosa de Oliveira, 3184 - Barão Geraldo"
100276,Guilherme Melo Alves,178,"Rua Maria Monteiro, 570 - Cambuí"
100277,Pedro Matos Queiroz,152,"Avenida Albino José Barbosa de Oliveira, 3346 - Barão Geraldo"
100278,João Gomes Matos,169,"Avenida Heitor Penteado, 2287 - Taquaral"
100279,Henrique Alves Ferreira,185,"Rua Coronel Quirino, 1598 - Cambuí"
100280,Giovanna Nascimento Silva,168,"Avenida Heitor Penteado, 492 - Taquaral"
100281,Gabriel Cruz Santana,175,"Rua Maria Monteiro, 594 - Cambuí"
100282,Henrique Cruz Matos,152,"Avenida Heitor Penteado, 2435 - Taquaral"
100283,Larissa Oliveira Santana,168,"Avenida Heitor Penteado, 1635 - Taquaral"
100284,Felipe Amorim Silva,169,"Rua Coronel Quirino, 1415 - Cambuí"
100285,Thiago Melo Queiroz,181,"Avenida Heitor Penteado, 2378 - Taquaral"
100286,Vinícius Nascimento Cruz,156,"Avenida Albino José Barbosa de Oliveira, 1601 - Barão Geraldo"
100287,Felipe Nascimento Bellini,201,"Avenida Albino José Barbosa de Oliveira, 1420 - Barão Geraldo"
100288,João Oliveira Nascimento,190,"Avenida Heitor Penteado, 793 - Taquaral"
100289,André Matos Almeida,182,"Avenida Albino José Barbosa de Oliveira, 1894 - Barão Geraldo"
100290,Giovanna Medeiros Medeiros,189,"Rua Coronel Quirino, 123 - Cambuí"
100291,Sofia Nascimento Almeida,188,"Rua Coronel Quirino, 1780 - Cambuí"
100292,Rafael Amorim Cruz,167,"Avenida Albino José Barbosa de Oliveira, 2081 - Barão Geraldo"
100293,André Melo Nascimento,189,"Avenida Albino José Barbosa de Oliveira, 2745 - Barão Geraldo"
100294,Pedro Amorim Ferreira,150,"Rua Maria Monteiro, 1324 - Cambuí"
100295,Henrique Oliveira Medeiros,160,"Avenida Heitor Penteado, 2953 - Taquaral"
100296,Giovanna Amorim Cruz,177,"Avenida Heitor Penteado, 372 - Taquaral"
100297,Clara Martins Amorim,174,"Avenida Albino José Barbosa de Oliveira, 1859 - Barão Geraldo"
100298,Clara Melo Ribeiro,199,"Avenida Albino José Barbosa de Oliveira, 1696 - Barão Geraldo"
100299,Yasmin Medeiros Almeida,172,"Avenida Albino José Barbosa de Oliveira, 904 - Barão Geraldo"
100300,Eduardo Melo Nascimento,180,"Avenida Heitor Penteado, 2467 - Taquaral"
